機関,職種/タイトル,勤務地,締切,タグ,対象外,URL
JST,国際交流支援（イベント事務局業務）／国際青少年サイエンス交流事業 / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260709_ssp.pdf
JST,総務・人事労務／総務担当 / 主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260703_souhatsu.pdf
JST,会計・経理／さくらサイエンスプログラム（公募プログラム） / 専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260702_ssp.pdf
JST,広報・アウトリーチ／科学技術情報連携・流通促進事業 / 専門員・主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260625_jstage.pdf
JST,広報・アウトリーチ／プレスリリース・報道対応担当 / 専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260526_koho.pdf
JST,情報システム内部監査 / 主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260427_kansa02.pdf
JST,内部監査 / 主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260427_kansa01.pdf
JST,法務コンプライアンス・契約／JST情報事業（海外契約担当） / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260408_johojigyou02.pdf
JST,法務コンプライアンス・契約／法務・コンプライアンス / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu250512_houmu.pdf
JST,調査・分析・発表／調査・分析担当 / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260305_aprc.pdf
JST,AIを活用したアクセシビリティ分野の研究活動 / 研究員（常勤）,東京都江東区,随時,,,https://www.miraikan.jst.go.jp/aboutus/recruitment/20210324/
JST,AIを活用したアクセシビリティ分野の研究活動 / 研究員（非常勤）,東京都江東区,随時,,,https://www.miraikan.jst.go.jp/aboutus/recruitment/20210302/
JST,経理・契約・IT等／適性・経験等により業務や配属先を決定 / 専門員,埼玉県川口市または東京都千代田区または東京都江東区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260406_challenged02.pdf
JST,データ入力、資料作成、電話対応等／適性・経験等により業務や配属先を決定 / 事務員,埼玉県川口市または東京都千代田区または東京都江東区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260406_challenged01.pdf
NEDO,特定任期付職員（専門調査員） - 募集要項,,,,,https://www.nedo.go.jp/saiyou/ZZAB_00068.html
NEDO,一般任期付職員（事務職員） - 募集要項,,,,,https://www.nedo.go.jp/saiyou/ZZAB_00069.html
NICT,有期一般職,,,,,https://www.nict.go.jp/employment/yuuki-ippan.html#有期一般職
NICT,2026A-4,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-4.pdf
NICT,2026A-17,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-17.pdf
NICT,2026A-18,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-18.pdf
NICT,2026A-28,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-28.pdf
NICT,2026A-29,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-29.pdf
NICT,2026A-30,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-30.pdf
